referencia,ano_foto,descripcion,url_ficha,url_imagen_resultado,carpeta_imagen,fondo_o_procedencia,tipo_clasificacion,criterio_clasificacion,uso_recomendado
52026,1975 - 1978,"El General y el Ayudante de Infantería, Patxo Rodríguez y Luis Lago...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52026,https://www.irun.org/fototeca/fcruz194/52026.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52027,1977 - 1978,"El General, Patxo Rodríguez, durante la concentración en la plaza del Ensanche...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52027,https://www.irun.org/fototeca/fcruz194/52027.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52028,1975 - 1978,Espectadores esperando el paso del Alarde (1975-1978). Donación de Felipe...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52028,https://www.irun.org/fototeca/fcruz194/52028.tif,fcruz194,Felipe Iguiñiz,explicito,"Procedencia explícita en descripción web, a veces truncada en el listado",publicable_con_atribucion
52029,1979 - 1979,"Concentración de las fuerzas del Alarde en la plaza San Juan, apreciándose la...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52029,https://www.irun.org/fototeca/fcruz194/52029.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52030,1976 - 1976,"Patxo Rodríguez, General del Alarde, acompañado por el Gobernador Civil, Emilio...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52030,https://www.irun.org/fototeca/fcruz194/52030.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52031,1977 - 1978,Integrantes de una Compañía de Infantería a su paso por el paseo Colón (1977 ó...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52031,https://www.irun.org/fototeca/fcruz194/52031.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52032,1977 - 1977,"Eduvigio Tife Aseguinolaza, Cornetín de órdenes del Alarde entre los años...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52032,https://www.irun.org/fototeca/fcruz194/52032.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52033,1975 - 1978,"El General, Patxo Rodríguez, durante el ágape en San Marcial (1975-1978)....",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52033,https://www.irun.org/fototeca/fcruz194/52033.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52034,1975 - 1978,"El General y el Ayudante de Infantería, Patxo Rodríguez y Luis Lago...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52034,https://www.irun.org/fototeca/fcruz194/52034.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
52035,1976 - 1978,Miembros de la Banda de Música del Alarde (1976-1978). Donación de Felipe...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52035,https://www.irun.org/fototeca/fcruz194/52035.tif,fcruz194,Felipe Iguiñiz,explicito,"Procedencia explícita en descripción web, a veces truncada en el listado",publicable_con_atribucion
52036,1976 - 1976,Integrante del Alarde haciendo su entrada por la tarde en la plaza San Juan...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=52036,https://www.irun.org/fototeca/fcruz194/52036.tif,fcruz194,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruz194,requiere_confirmacion_archivo
