referencia,ano_foto,descripcion,url_ficha,url_imagen_resultado
1814,1961 - 1961,"Retrato de Mercedes Aguirre, cantinera de la Tamborrada del Alarde en 1961",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1814,https://www.irun.org/fototeca/fcruzpe1/1814.jpg
1815,1961 - 1961,"Retrato de Mercedes Aguirre, cantinera de la Tamborrada del Alarde en 1961",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1815,https://www.irun.org/fototeca/fcruzpe1/1815.jpg
1816,1961 - 1961,"Retrato de Mercedes Aguirre, cantinera de la Tamborrada del Alarde en 1961",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1816,https://www.irun.org/fototeca/fcruzpe1/1816.jpg
1817,1961 - 1961,"Natividad Arregui, Cantinera de la escolta de Caballería del Alarde en 1961",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1817,https://www.irun.org/fototeca/fcruzpe1/1817.jpg
1818,1961 - 1961,"Concepción Bermejo, cantinera de la Compañía Real Unión del Alarde en 1961",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1818,https://www.irun.org/fototeca/fcruzpe1/1818.jpg
1819,1961 - 1961,"Ricarda García, Cantinera de la Compañía Lapice del Alarde en 1961",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1819,https://www.irun.org/fototeca/fcruzpe1/1819.jpg
1820,1961 - 1961,Esther Pagola Cantinera de la Compañía Santa Elena del Alarde en 1961,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1820,https://www.irun.org/fototeca/fcruzpe1/1820.jpg
1821,1961 - 1961,"Josefina Sorzabalbere, cantinera de la Compañía Bidasoa del Alarde en 1961",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1821,https://www.irun.org/fototeca/fcruzpe1/1821.jpg
1822,1961 - 1961,"Josefina Sorzabalbere, cantinera de la Compañía Bidasoa del Alarde en 1961",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1822,https://www.irun.org/fototeca/fcruzpe1/1822.jpg
1823,1961 - 1961,"Natividad Arregui, Cantinera de la escolta de Caballería del Alarde en 1961",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1823,https://www.irun.org/fototeca/fcruzpe1/1823.jpg
