Publicacion,Fecha / numero,Articulo o pasaje,Temas,Uso,Localizacion / fuente,Extracto
El Bidasoa,1881-06-10,",que daria el resultado arete,ciGO y verdadera-', D. Bdtran de la Cueva, Capitan GenJ!yal de la lo m",mandos,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1881/1881-06-10 - El Bidasoa.pdf,"CivIl vtwifica ya el de I.a I'aza de lo~ pel~I'~,S, ~ ,dos y uniéndose para 3ufl'ag:tr bien por I1).C­ pitalles y su gcnte, resolvieron asaltar al ejército partir 01 impuesto, se~un que esten de~llnadl ,rlio de una suscricion ó bien 'por otro"" para francés y pasaron á San Sebastian, donde estaba Cala, .al .'ecl'eo Ó á la gual'da, La medida le~ ,que daria el resultado arete,ciGO y verdadera-', D. Bdtran de la Cueva, Capitan GenJ!yal de la lo ménos la ventaja de producil' :)l li:slado de meNte digno de elogio y apb:uso. provincia, tÍ r;umuJti~{Jrl.e su penslJmientO"" y que prillcipio,y poco á poco la balallza husc~da Sin es.tas formalidades iil1"
El Bidasoa,1881-06-10,"cioJilá cartas de estos -a'n~'igos, euf.re otros toda la artillería d~ C.ill1~ paii.ay quedú libre e","mandos, companias",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1881/1881-06-10 - El Bidasoa.pdf,"l""pI cioJilá cartas de estos -a'n~'igos, euf.re otros toda la artillería d~ C.ill1~ paii.ay quedú libre el cas­ párrafos,ci.'¡¡,;:e 10. ~igmiente: tillo de Behobia, siendo la 'uictoria completa, En 1876 274. 31 - 1877 ¡JaH JI Permítamc Vd. que le diga mi parecer á este ;, Se debió gran P/.1r1t ,d<cste S,UC.6,SO, adf!i.ltás de - 1878 HO !S respecto., H qcicI'ldocse Ayuntamiento un esfuerzo, los dos capitancs referidos, al capilan LIJ ¡'le de - 18'1~ iHg 31 tC(ldria la villa dc Irun elementos propios, ,exactos Irigoyen, natural del mismo pueblo de 17'UJI, y cotlslanlfs para impriJlúr á su fiesta popular e~t hombre muy valiente j' detcrminado,'"""
El Bidasoa,1881-06-10,"z~ci0n t1,ecesari;;¡.sen esta fiesta, alarde 6 ani~ tros lectores, para que cada uno lo dé la' confi",mandos,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1881/1881-06-10 - El Bidasoa.pdf,"«:1 próximo un hecho, la formalidad y organi­ MI'. Viotelier ,ha Iwblicacio j(}IH'C:l este asunto una má~ I gervici,os á Ja humanirlad que todallla5d opiniolJ muy general, que vamos á trasmitil' a nm~s­ ciones solJ.'e el virus rálJico, que hasta hoya z~ci0n t1,ecesari;;¡.sen esta fiesta, alarde 6 ani~ tros lectores, para que cada uno lo dé la' confianza ! dado ningun resultado práctico. .versario, Así lo esperamos. quc le mel'ezca, "" (Reui.sta Popn'lQ,r de Co.ltOcimícntos útí!es,) Con,este fausto motivo copiamos á conti­ En e~tu éroca ,Son ele muda los artículos sobre la Ullacion el hecho de armas y sus preceden­ rabia .dc los perros. Unos in"
El Bidasoa,1881-06-10,"nó civil, varios jefes de llcgocia<los, los inspec­ establecido porh compañía elel f'erro-c;uril del",companias,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1881/1881-06-10 - El Bidasoa.pdf,"dor de la Provincill, saliendo ,í ret:il)il'io hasta Tolo· sa'el SI'; Jefe Económico, el Secl'etal'io del Gobicr­ Cuadro ele hs horas de despacho para el sercio público que, co~ arreglo al nuevo itinelario nó civil, varios jefes de llcgocia<los, los inspec­ establecido porh compañía elel f'erro-c;uril del Nórte, rigen d~sde el 15 delactua 1, tores de Ól'den púhlico de Il'ul1, San Sehastian y oLra~. ;Esperábanle en cl :lIIc!Clll val'iall personas ¡mpol'·"
El Bidasoa,1882-07-02,LA FIESTA DE SAN MARCIAL.,Alarde,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1882/1882-07-02 - El Bidasoa.pdf,"LA FIESTA DE SAN MARCIAL. -c:]- II de Vizcaya, y la provinci;c de Guipúzcoa con L)s de Irun quemztr muchas casas suyas, y , la Victoria ele la batalla de Noayn, le obli­ tahr sus mon tes' y heredades"
El Bidasoa,1882-07-02,aquella frontera; hasta que lnbiendo D1uer- sus nobles compañeros· naturales de Oyar­ fueron de vish,companias,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1882/1882-07-02 - El Bidasoa.pdf,"I de 1512 hasta el ele 1521, no buba Guerra I especialmente Trun. Verdad es, que en cuan­ parte de estas guerras; y de lo demás se in­ , Campal. ni ~jército de uno, y otro reino po: toá muc 110s casos'memorables 8)ludadade formó ele testigos fidedignos, que tambieJ.1 aquella frontera; hasta que lnbiendo D1uer- sus nobles compañeros· naturales de Oyar­ fueron de vish; ha sacJ.do á Irun al Tea­ to D. Juan de Lalnit, y sucedi6elole en los \ zun,· Rentería, y otros de su territorio cir­ tro ele las Hi::;torias, cuando en ellas por su Est(ldos ele Bcame, y Labrit su hijo D. En­ cunvecinos; y lo qué los de 1mn sufrieron desgraciJ. ha estado tan olv"
El Bidasoa,1882-07-02,"Beltran de la Cueba, capitan general de la ta JI Santo; sino que tambien hizo voto de Desde el año d","mandos, companias, ritual",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1882/1882-07-02 - El Bidasoa.pdf,"y pórque los naturales la tenian ceñida"" y ella. Franceses: y que al Pueblo de Yrun se debia cerrada en su recinto ;::on las emboscadas;""y y el pueblo de Irun no se content6 con el haverse mantenido el Rio Bidasoa entera~ por alguna noticia, que tuvieron de que D. haber hecho el reverente Culto de la lícrmi- mente por jurisdici')n de Espal1a. Beltran de la Cueba, capitan general de la ta JI Santo; sino que tambien hizo voto de Desde el año del 579' tampoco hubo provincia con los naturales provincianos, y ir el dia de su fest{vidad, que es á treinta de Ju- Guerra Campal entre los Reynos de Es­ alguna gente, que tenia del Rey, queria re- niO,lo"
El Bidasoa,1882-07-02,"Marcial, si bien siemprc dudando el buen tes l1l10 de otro l1/-cbos de media legua, la J."" Subida á ",ritual,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1882/1882-07-02 - El Bidasoa.pdf,"tran, á quc ~e intentase la expedicio:1. Francia; como son Fuenterrabía con Hen-. , porque no tienc ni un real. y con efecto se ejecutó la idea de los na- daya, que es un curto lugar abierto . de I 2.° Satisfccho sin igual turales el dia 30 de Junio fiesta dc San Francia, y están ambos á la vista distan­ .j¡;)ja de San Mal'cial. Marcial, si bien siemprc dudando el buen tes l1l10 de otro l1/-cbos de media legua, la J."" Subida á la llermita. suceso D. Bcltran, fué con tanta felicidad, mar de por medio, y sus inquietudes eran '¡.' Nuesu·o corrcsponsal en San ~1a!'ci;¡I., que quedaron los franceses y alemanes de- sobre' el mélr; y lrun con los lu"
El Bidasoa,1882-07-02,"los dos capitanes referidos, al capitan LOPE ' deros, H01ltes, Hijofdcalgo de la Villa de Ymn","mandos, ritual",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1882/1882-07-02 - El Bidasoa.pdf,"cían de,l rerro-carril de esta Villa. ' ' y aquí mismo dice Garibay, qu.; se debió gran parte de este buen suceso, además de I ' Confejo Jufticia, Regidol~es, Cac'aLleros Escu­ los dos capitanes referidos, al capitan LOPE ' deros, H01ltes, Hijofdcalgo de la Villa de Ymn de IRIGOYEN, natural del mismo pucblo Yrr17lzu, en carta de 16. del pa/jado l'ecibimos l' ¡Que ganga/ ele Irun, hombre muy valiente y deter.mina- el cuidado, y diligencia, ' que pufifteis en preve- I Se hallan de venta, una máquina para majar man­ do: A quien conoció muy bien; dice tambien n'irfeyapercibirospor el avifo q.osdioGarciade: zana, una id.-par:l desgrana!' lIlaiz, t"
El Bidasoa,1882-07-09,"vedo; pero que, como él vá estrechándose, San Marcial It'un 1. o de Julio de 1882.",mandos,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1882/1882-07-09 - El Bidasoa.pdf,", IJI'e con verdadera satisf<lccion y orgullo un vas, I (;ongado. P. B, camino del infierno de que nos habla Que­ vedo; pero que, como él vá estrechándose, San Marcial It'un 1. o de Julio de 1882. hasta morir en -la miserable' puerta de un .• -al. hospital. Como es consecuencia lógica, y natural de una ge­ Todos los di as niñas de. doce á catorce neracion leal y agradecida demostrar en todos tiem­ Cabos sueltos."
