Documento,Publicacion,Fecha / numero,Caracteres extraidos,Estado de texto,Pasajes localizados
/home/gaizka/Alarde/Programas de fiestas/1987C.pdf,Programa de fiestas,1987C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1987D.pdf,Programa de fiestas,1987D,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1987E.pdf,Programa de fiestas,1987E,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1987F.pdf,Programa de fiestas,1987F,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1987G.pdf,Programa de fiestas,1987G,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1987H.pdf,Programa de fiestas,1987H,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1987I.pdf,Programa de fiestas,1987I,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1988A.pdf,Programa de fiestas,1988A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1988B.pdf,Programa de fiestas,1988B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1988C.pdf,Programa de fiestas,1988C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1988D.pdf,Programa de fiestas,1988D,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1988E.pdf,Programa de fiestas,1988E,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1988F.pdf,Programa de fiestas,1988F,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1988G.pdf,Programa de fiestas,1988G,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1988H.pdf,Programa de fiestas,1988H,10,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1989A.pdf,Programa de fiestas,1989A,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1989B.pdf,Programa de fiestas,1989B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1989C.pdf,Programa de fiestas,1989C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1989D.pdf,Programa de fiestas,1989D,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1989E.pdf,Programa de fiestas,1989E,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1989F.pdf,Programa de fiestas,1989F,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1989G.pdf,Programa de fiestas,1989G,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1989H.pdf,Programa de fiestas,1989H,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1989I.pdf,Programa de fiestas,1989I,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1990A.pdf,Programa de fiestas,1990A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1990B.pdf,Programa de fiestas,1990B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1990C.pdf,Programa de fiestas,1990C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1990D.pdf,Programa de fiestas,1990D,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1990E.pdf,Programa de fiestas,1990E,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1990F.pdf,Programa de fiestas,1990F,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1990G.pdf,Programa de fiestas,1990G,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1990H.pdf,Programa de fiestas,1990H,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1990I.pdf,Programa de fiestas,1990I,8,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1991A.pdf,Programa de fiestas,1991A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1991B.pdf,Programa de fiestas,1991B,6,sin texto suficiente,0
